Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,text
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, yüksek ateş, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, yüksek ateş, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, yorgunluk, yüksek ateş, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, yorgunluk, yüksek ateş, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yüksek ateş, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, sarımsı cilt, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, yüksek ateş, koyu idrar, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, yüksek ateş, sarımsı cilt, mide bulantısı, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,,"Hastalık: Hepatit E. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: eklem ağrısı, kusma, yorgunluk, yüksek ateş, sarımsı cilt, koyu idrar, iştah kaybı, karın ağrısı, gözlerin sararması, akut karaciğer yetmezliği, koma, mide kanaması."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, karın ağrısı, mide şişmesi, karın şişliği, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: sarımsı cilt, karın ağrısı, mide şişmesi, karın şişliği, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, karın ağrısı, mide şişmesi, karın şişliği, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, mide şişmesi, karın şişliği, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, karın ağrısı, karın şişliği, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, karın ağrısı, mide şişmesi, alkol tüketimi geçmişi, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, karın ağrısı, mide şişmesi, karın şişliği, aşırı sıvı yüklemesi."
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alkolik Hepatit. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, sarımsı cilt, karın ağrısı, mide şişmesi, karın şişliği, alkol tüketimi geçmişi."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, kilo kaybı, öksürük, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kusma, yorgunluk, kilo kaybı, öksürük, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, yorgunluk, kilo kaybı, öksürük, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, kilo kaybı, öksürük, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, öksürük, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, kilo kaybı, yüksek ateş, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, kilo kaybı, öksürük, nefes darlığı, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, kilo kaybı, öksürük, yüksek ateş, terlemek, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,,"Hastalık: Tüberküloz. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: üşümek, kusma, yorgunluk, kilo kaybı, öksürük, yüksek ateş, nefes darlığı, iştah kaybı, hafif ateş, gözlerin sararması, şişmiş lenf düğümleri, keyifsizlik, balgam, göğüs ağrısı, balgamda kan."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, öksürük, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, yorgunluk, öksürük, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, öksürük, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, öksürük, baş ağrısı, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, öksürük, yüksek ateş, şişmiş lenf düğümleri, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, öksürük, yüksek ateş, baş ağrısı, keyifsizlik, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,,"Hastalık: Soğuk Algınlığı. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, yorgunluk, öksürük, yüksek ateş, baş ağrısı, şişmiş lenf düğümleri, balgam, boğaz tahrişi, gözlerin kızarıklığı, sinüs basıncı, burun akması, tıkanıklık, göğüs ağrısı, koku kaybı, kas ağrısı."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, nefes darlığı, terlemek, keyifsizlik, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, nefes darlığı, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: yorgunluk, öksürük, yüksek ateş, nefes darlığı, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, öksürük, yüksek ateş, nefes darlığı, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, yüksek ateş, nefes darlığı, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, nefes darlığı, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, terlemek, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, nefes darlığı, keyifsizlik, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,,"Hastalık: Akciğer İltihaplanması (zatüre). Bölüm: Göğüs Hastalıkları. Belirtiler: üşümek, yorgunluk, öksürük, yüksek ateş, nefes darlığı, terlemek, balgam, göğüs ağrısı, hızlı kalp atış hızı, paslı balgam."
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: kabızlık, dışkı sırasında ağrı, anal bölgede ağrı, kanlı dışkı, anüs tahrişi."
Genel Dahiliye,Dimorfik Hemoroit,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: dışkı sırasında ağrı, anal bölgede ağrı, kanlı dışkı, anüs tahrişi."
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: kabızlık, anal bölgede ağrı, kanlı dışkı, anüs tahrişi."
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: kabızlık, dışkı sırasında ağrı, kanlı dışkı, anüs tahrişi."
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: kabızlık, dışkı sırasında ağrı, anal bölgede ağrı, anüs tahrişi."
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Dimorfik Hemoroit. Bölüm: Genel Dahiliye. Belirtiler: kabızlık, dışkı sırasında ağrı, anal bölgede ağrı, kanlı dışkı."
Kardiyoloji,Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kalp Krizi. Bölüm: Kardiyoloji. Belirtiler: kusma, nefes darlığı, terlemek, göğüs ağrısı."
Kardiyoloji,Kalp Krizi,nefes darlığı,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kalp Krizi. Bölüm: Kardiyoloji. Belirtiler: nefes darlığı, terlemek, göğüs ağrısı."
Kardiyoloji,Kalp Krizi,kusma,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kalp Krizi. Bölüm: Kardiyoloji. Belirtiler: kusma, terlemek, göğüs ağrısı."
Kardiyoloji,Kalp Krizi,kusma,nefes darlığı,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Kalp Krizi. Bölüm: Kardiyoloji. Belirtiler: kusma, nefes darlığı, göğüs ağrısı."
